"Date","Video views","Profile views","Likes","Comments","Shares"
"2023-05-25","41","4","1","0","0"
"2023-05-26","32","2","3","0","0"
"2023-05-27","40","0","7","0","0"
"2023-05-28","23","0","1","1","0"
"2023-05-29","565","10","36","6","5"
"2023-05-30","477","2","26","4","0"
"2023-05-31","249","2","14","0","1"
"2023-06-01","256","1","11","0","0"
"2023-06-02","43","1","0","0","0"
"2023-06-03","72","0","7","0","1"
"2023-06-04","465","4","21","3","1"
"2023-06-05","52","1","6","0","0"
"2023-06-06","29","1","1","0","0"
"2023-06-07","33","0","2","0","0"
"2023-06-08","21","0","0","0","0"
"2023-06-09","20","0","1","0","0"
"2023-06-10","100","3","5","0","0"
"2023-06-11","260","11","8","1","0"
"2023-06-12","22","0","0","0","0"
"2023-06-13","60","1","7","0","2"
"2023-06-14","429","6","22","9","0"
"2023-06-15","18","0","1","0","0"
"2023-06-16","306","1","19","2","0"
"2023-06-17","179","2","8","2","0"
"2023-06-18","27","4","1","0","0"
"2023-06-19","28","1","0","0","0"
"2023-06-20","394","2","19","0","2"
"2023-06-21","84","8","3","1","1"
"2023-06-22","24","1","1","3","0"
"2023-06-23","47","3","1","0","0"
"2023-06-24","29","0","4","0","0"
"2023-06-25","41","2","0","0","0"
"2023-06-26","248","2","13","3","0"
"2023-06-27","71","1","3","1","1"
"2023-06-28","33","2","0","0","0"
"2023-06-29","27","0","0","0","0"
"2023-06-30","242","1","11","0","1"
"2023-07-01","27","0","1","0","0"
"2023-07-02","26","1","0","0","0"
"2023-07-03","22","0","0","0","0"
"2023-07-04","9","0","0","0","1"
"2023-07-05","22","0","0","0","0"
"2023-07-06","42","0","1","0","0"
"2023-07-07","13","0","0","0","0"
"2023-07-08","15","0","0","0","0"
"2023-07-09","17","1","1","0","0"
"2023-07-10","8","2","1","0","0"
"2023-07-11","331","5","16","2","0"
"2023-07-12","44","0","1","0","0"
"2023-07-13","20","1","2","0","0"
"2023-07-14","35","3","1","0","0"
"2023-07-15","63","4","4","2","0"
"2023-07-16","20","1","0","0","0"
"2023-07-17","31","0","0","0","0"
"2023-07-18","568","4","16","10","3"
"2023-07-19","585","7","22","1","4"
"2023-07-20","40","1","3","0","0"
"2023-07-21","170","2","17","9","1"
"2023-07-22","169","3","17","0","0"
"2023-07-23","498","4","60","4","0"
